#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
-7.0,3,645.01652
-7.0,2,645.018518
-7.0,2,645.021519
-7.0,3,645.026518
-7.0,1,645.03052
-7.0,1,645.03152
-7.0,1,645.03352
-7.0,4,645.039518
-7.0,2,645.041516
-7.0,1,645.044559
-7.0,1,645.047522
-7.0,1,645.051524
-7.0,1,645.052521
-7.0,1,645.054519
-7.0,1,645.05652
-7.0,4,645.062521
-7.0,1,645.063519
-7.0,1,645.067519
-7.0,2,645.068517
-7.0,2,645.072525
-7.0,4,645.076527
-7.0,2,645.081528
-7.0,3,645.083526
-7.0,1,645.086645
-7.0,1,645.088646
-7.0,1,645.089645
-7.0,2,645.091646
-7.0,1,645.097644
-7.0,3,645.10065
-10.0,3,645.103645
-7.0,2,645.105646
-10.0,3,645.111648
-7.0,4,645.115643
-7.0,1,645.117647
-7.0,5,645.123648
-7.0,1,645.127662
-10.0,4,645.134645
-7.0,4,645.139644
